Variable,Assumption,Calibrated Output,Climate Impact Parameter,Explanatory Variable,External Parameter,Internal Calibration Parameter,No Sensi,Policy,Unit,Value,Min,Max
"Animal Products Demand.average daily demand per capita in 1980",0,0,0,0,0,1,0,0,0,376.138991775897,350,400
"Animal Products Demand.initial share of demand from consumption domain",0,0,0,0,0,1,0,0,0,0.172464884414208,0.15,0.3
"Animal Products Demand.sensitivity of demand to consumption",0,0,0,0,0,1,0,0,0,0.518316536690958,0,1
"Animal Products Demand.sensitivity of demand to relative scarcity",0,0,0,0,0,1,0,0,0,0.806017264409131,0,1
"Animal Products Demand.sensitivity of personal norm to climate risk",0,0,0,0,0,1,0,0,0,-0.489803886181443,-2,-0.01
"Animal Products Demand.sensitivity of personal norm to consumption risk",0,0,0,0,0,1,0,0,0,-0.429621143624203,-2,-0.1
"Animal Products Demand.sensitivity of personal norm to social value",0,0,0,0,0,1,0,0,0,1.18695856177348,0.1,2
"Animal Products Demand.time horizon for long term perception",0,0,0,0,0,1,0,0,0,54.4979682842435,20,100
"Animal Products Demand.time horizon for short term perception",0,0,0,0,0,1,0,0,0,3.55738013918865,1,20
"Animal Products Demand.time to adjust consumption pattern",0,0,0,0,0,1,0,0,0,3.9263611057428,1,10
"Animal Products Demand.time to adjust value perception",0,0,0,0,0,1,0,0,0,2.96004421804137,1,10
"Animal Products Demand.time to observe consequences",0,0,0,0,0,1,0,0,0,25.0080858552951,10,30
"Animal Products Demand.time to perceive average consumption",0,0,0,0,0,1,0,0,0,2.9416089689167,1,5
"Animal Products Demand.time to perceive change in accessibility",0,0,0,0,0,1,0,0,0,1,1,5
"Climate Risk Perception.additional time horizon of reference climate extremes exposure",0,0,0,0,0,1,0,0,0,50.3938555678285,10,100
"Climate Risk Perception.additional time horizon of reference temperature anomaly",0,0,0,0,0,1,0,0,0,10.027183988045,10,100
"Climate Risk Perception.sensitivity to climate extremes exposure",0,0,0,0,0,1,0,0,0,0.982003746222356,0,1
"Climate Risk Perception.sensitivity to climate information",0,0,0,0,0,1,0,0,0,0.984649428508052,0,1
"Climate Risk Perception.time to perceive climate extremes exposure",0,0,0,0,0,1,0,0,0,3.06714243170849,1,10
"Climate Risk Perception.time to perceive temperature anomaly",0,0,0,0,0,1,0,0,0,2.74357000025433,1,10
"Climate Risk Perception.time to report climate information",0,0,0,0,0,1,0,0,0,8.45054017051046,1,10
"Behavioral Choices.switch animal products fraction policy",0,0,0,0,0,0,0,1,0,0,0,1
"Behavioral Choices.switch aquatic animal products fraction policy",0,0,0,0,0,0,0,1,0,0,0,1
"Behavioral Choices.switch energy demand policy",0,0,0,0,0,0,0,1,0,0,0,1
"Behavioral Choices.switch food demand policy",0,0,0,0,0,0,0,1,0,0,0,1
"Climate.switch behavioral impact",0,0,0,0,0,0,1,0,0,1,0,1
"Climate.switch demography damage",0,0,0,0,0,0,1,0,0,1,0,1
"Climate.switch energy damage",0,0,0,0,0,0,1,0,0,1,0,1
"Climate.switch finance damage",0,0,0,0,0,0,1,0,0,1,0,1
"Climate.switch government damage",0,0,0,0,0,0,1,0,0,1,0,1
"Climate.switch labor damage",0,0,0,0,0,0,1,0,0,1,0,1
"Climate.switch land carbon impact",0,0,0,0,0,0,1,0,0,1,0,1
"Climate.switch landuse damage",0,0,0,0,0,0,1,0,0,1,0,1
"Climate.switch sea level rise damage",0,0,0,0,0,0,1,0,0,1,0,1
"Emissions.baseline Food and Land use CH4 emissions",0,0,0,0,0,1,0,0,0,46.8304840395625,40,60
"Emissions.baseline Food and Land Use N2O emissions",0,0,0,0,0,1,0,0,0,3650.08419815139,2000,4000
"Emissions.baseline GDP per person",0,0,0,0,0,0,0,0,0,7.50891781169888,5,15
"Emissions.baseline HFC134a eq per person",0,0,0,0,0,1,0,0,0,0.00154865341098791,0,0.02
"Emissions.baseline N2O per person",0,0,0,0,0,1,0,0,0,0.000133691928151863,0,0.0002
"Emissions.baseline non fossil CH4 per person",0,0,0,0,0,1,0,0,0,0.00977488928173013,0,0.05
"Emissions.desulphurisation rate of energy related emissions[Gas]",0,0,0,0,0,1,0,0,0,-0.0362290966896637,-0.1,0
"Emissions.desulphurisation rate of energy related emissions[Oil]",0,0,0,0,0,1,0,0,0,-0.0187665377872956,-0.1,0
"Emissions.desulphurisation rate of energy related emissions[Coal]",0,0,0,0,0,1,0,0,0,-0.0381309286234209,-0.1,0
"Emissions.effective CDD logistic speed",0,0,0,0,0,1,0,0,0,3.36491949212931,0,10
"Emissions.Initial Fossil Energy CH4 Intensity[Gas]",0,0,0,0,0,1,0,0,0,28.9349731860506,5,50
"Emissions.Initial Fossil Energy CH4 Intensity[Oil]",0,0,0,0,0,1,0,0,0,19.0743900723425,5,50
"Emissions.Initial Fossil Energy CH4 Intensity[Coal]",0,0,0,0,0,1,0,0,0,34.9932706069747,5,50
"Emissions.Initial Fossil Energy N2O Intensity[Gas]",0,0,0,0,0,1,0,0,0,226.778786246058,50,500
"Emissions.Initial Fossil Energy N2O Intensity[Oil]",0,0,0,0,0,1,0,0,0,277.828736410406,50,500
"Emissions.Initial Fossil Energy N2O Intensity[Coal]",0,0,0,0,0,1,0,0,0,499.595527820781,50,500
"Emissions.Initial Fossil Energy Sulfur Intensity[Gas]",0,0,0,0,0,1,0,0,0,40.19101259422,5,50
"Emissions.Initial Fossil Energy Sulfur Intensity[Oil]",0,0,0,0,0,1,0,0,0,12.7947455576527,5,50
"Emissions.Initial Fossil Energy Sulfur Intensity[Coal]",0,0,0,0,0,1,0,0,0,48.692450051843,5,50
"Emissions.MtCH4 emission per PCal animal products 1980",0,0,0,0,0,1,0,0,0,0.114713914107229,0,0.3
"Emissions.MtN2O emission per PCal animal products 1980",0,0,0,0,0,1,0,0,0,0.0025356048812357,0,0.01
"Emissions.rate of change in energy related CH4 emissions[Gas]",0,0,0,0,0,1,0,0,0,-0.0719828982587394,-0.2,0
"Emissions.rate of change in energy related CH4 emissions[Oil]",0,0,0,0,0,1,0,0,0,-0.0446128576953571,-0.2,0
"Emissions.rate of change in energy related CH4 emissions[Coal]",0,0,0,0,0,1,0,0,0,-0.000841838858379762,-0.2,0
"Emissions.rate of change in energy related N2O emissions[Gas]",0,0,0,0,0,1,0,0,0,-0.0180409223132277,-0.05,0
"Emissions.rate of change in energy related N2O emissions[Oil]",0,0,0,0,0,1,0,0,0,-0.00902089160155854,-0.05,0
"Emissions.rate of change in energy related N2O emissions[Coal]",0,0,0,0,0,1,0,0,0,-0.0234692244011569,-0.05,0
